,num,time,scale,min_lifetime,derror,terror,epair,spair,eg,sg,r
61,10000,40,0.002,3,300.0,100.0,9013,124053,1667,133,<function recall at 0x7fa67b33a0d0>
62,10000,40,0.001,4,300.0,100.0,8017,53124,940,299,<function recall at 0x7fa67b33a0d0>
63,10000,40,0.002,4,300.0,100.0,8017,96297,940,204,<function recall at 0x7fa67b33a0d0>
64,10000,40,0.001,5,300.0,100.0,6437,33291,415,257,<function recall at 0x7fa67b33a0d0>
65,10000,40,0.002,5,300.0,100.0,6437,71721,415,223,<function recall at 0x7fa67b33a0d0>
66,10000,40,0.001,6,300.0,100.0,4411,18843,118,162,<function recall at 0x7fa67b33a0d0>
67,10000,40,0.002,6,300.0,100.0,4411,50086,118,188,<function recall at 0x7fa67b33a0d0>
68,10000,40,0.001,7,300.0,100.0,2480,9513,15,92,<function recall at 0x7fa67b33a0d0>
69,10000,40,0.002,7,300.0,100.0,2480,32711,15,148,<function recall at 0x7fa67b33a0d0>
70,10000,40,0.001,3,300.0,200.0,9406,79234,1635,308,<function recall at 0x7fa67b33a0d0>
71,10000,40,0.002,3,300.0,200.0,9406,124053,1635,133,<function recall at 0x7fa67b33a0d0>
72,10000,40,0.001,4,300.0,200.0,8849,53124,1109,299,<function recall at 0x7fa67b33a0d0>
73,10000,40,0.002,4,300.0,200.0,8849,96297,1109,204,<function recall at 0x7fa67b33a0d0>
74,10000,40,0.001,5,300.0,200.0,7893,33291,627,257,<function recall at 0x7fa67b33a0d0>
75,10000,40,0.002,5,300.0,200.0,7893,71721,627,223,<function recall at 0x7fa67b33a0d0>
76,10000,40,0.001,6,300.0,200.0,6450,18843,258,162,<function recall at 0x7fa67b33a0d0>
77,10000,40,0.002,6,300.0,200.0,6450,50086,258,188,<function recall at 0x7fa67b33a0d0>
78,10000,40,0.001,7,300.0,200.0,4661,9513,72,92,<function recall at 0x7fa67b33a0d0>
