,num,time,scale,ep,derror,terror,epair,apair,spair,eg,ag,sg,r1,r2,r3
0,5000.0,40.0,0.001,0.5,150.0,150.0,3238.0,3017.0,18890.0,622.0,531.0,257.0,0.2779978393950306,0.8816590563165906,0.6215340295282679
1,5000.0,40.0,0.001,0.6,150.0,150.0,3238.0,3017.0,18890.0,622.0,531.0,247.0,0.2779978393950306,0.5863774733637748,0.35253871083903493
2,5000.0,40.0,0.001,0.7,150.0,150.0,3238.0,3017.0,18890.0,622.0,531.0,113.0,0.2779978393950306,0.2549467275494673,0.15124234785740007
3,5000.0,40.0,0.001,0.8,150.0,150.0,3238.0,3017.0,18890.0,622.0,531.0,28.0,0.2779978393950306,0.0684931506849315,0.03168887288440764
4,5000.0,40.0,0.002,0.5,150.0,150.0,3238.0,3842.0,30805.0,622.0,703.0,158.0,0.40475333093266114,0.8940886699507389,0.8224702916816709
5,5000.0,40.0,0.002,0.6,150.0,150.0,3238.0,3842.0,30805.0,622.0,703.0,260.0,0.40475333093266114,0.5682266009852217,0.4785740007202017
6,5000.0,40.0,0.002,0.7,150.0,150.0,3238.0,3842.0,30805.0,622.0,703.0,139.0,0.40475333093266114,0.24655172413793103,0.19121353979114153
7,5000.0,40.0,0.002,0.8,150.0,150.0,3238.0,3842.0,30805.0,622.0,703.0,25.0,0.40475333093266114,0.038669950738916256,0.03456967951026287
8,5000.0,40.0,0.003,0.5,150.0,150.0,3238.0,4132.0,38522.0,622.0,736.0,106.0,0.43356139719121356,0.9137858347386172,0.9002520705797623
9,5000.0,40.0,0.003,0.6,150.0,150.0,3238.0,4132.0,38522.0,622.0,736.0,255.0,0.43356139719121356,0.606239460370995,0.5549153763053655
10,5000.0,40.0,0.003,0.7,150.0,150.0,3238.0,4132.0,38522.0,622.0,736.0,141.0,0.43356139719121356,0.22280775716694773,0.20813827871804105
11,5000.0,40.0,0.003,0.8,150.0,150.0,3238.0,4132.0,38522.0,622.0,736.0,25.0,0.43356139719121356,0.03246205733558179,0.02700756211739287
12,5000.0,40.0,0.004,0.5,150.0,150.0,3238.0,4292.0,44295.0,622.0,779.0,77.0,0.39467050774216783,0.9359022556390978,0.9420237666546633
13,5000.0,40.0,0.004,0.6,150.0,150.0,3238.0,4292.0,44295.0,622.0,779.0,224.0,0.39467050774216783,0.6409774436090225,0.6532229024126756
14,5000.0,40.0,0.004,0.7,150.0,150.0,3238.0,4292.0,44295.0,622.0,779.0,154.0,0.39467050774216783,0.23477443609022555,0.2340655383507382
15,5000.0,40.0,0.004,0.8,150.0,150.0,3238.0,4292.0,44295.0,622.0,779.0,28.0,0.39467050774216783,0.03007518796992481,0.02844796543032049
16,5000.0,40.0,0.005,0.5,150.0,150.0,3238.0,4425.0,49300.0,622.0,790.0,53.0,0.40475333093266114,0.9530446324871412,0.9571480014404034
17,5000.0,40.0,0.005,0.6,150.0,150.0,3238.0,4425.0,49300.0,622.0,790.0,207.0,0.40475333093266114,0.6862452297992367,0.7075981274756932
18,5000.0,40.0,0.005,0.7,150.0,150.0,3238.0,4425.0,49300.0,622.0,790.0,189.0,0.40475333093266114,0.28621204579392734,0.265034209578682
19,5000.0,40.0,0.005,0.8,150.0,150.0,3238.0,4425.0,49300.0,622.0,790.0,33.0,0.40475333093266114,0.037829766052762566,0.03384947785379906
20,5000.0,40.0,0.006,0.5,150.0,150.0,3238.0,4507.0,52353.0,622.0,770.0,50.0,0.41267554915376303,0.9582808564231738,0.9654303204897371
21,5000.0,40.0,0.006,0.6,150.0,150.0,3238.0,4507.0,52353.0,622.0,770.0,200.0,0.41267554915376303,0.7177267002518891,0.7003961109110551
22,5000.0,40.0,0.006,0.7,150.0,150.0,3238.0,4507.0,52353.0,622.0,770.0,181.0,0.41267554915376303,0.29502518891687657,0.28303925099027727
23,5000.0,40.0,0.006,0.8,150.0,150.0,3238.0,4507.0,52353.0,622.0,770.0,37.0,0.41267554915376303,0.04124685138539043,0.042851998559596684
24,5000.0,40.0,0.007,0.5,150.0,150.0,3238.0,4562.0,57606.0,622.0,773.0,33.0,0.367302844796543,0.963697824808936,0.9758732445084624
25,5000.0,40.0,0.007,0.6,150.0,150.0,3238.0,4562.0,57606.0,622.0,773.0,169.0,0.367302844796543,0.7574955908289241,0.768815268275117
26,5000.0,40.0,0.007,0.7,150.0,150.0,3238.0,4562.0,57606.0,622.0,773.0,208.0,0.367302844796543,0.3567019400352734,0.3557796182931221
27,5000.0,40.0,0.007,0.8,150.0,150.0,3238.0,4562.0,57606.0,622.0,773.0,41.0,0.367302844796543,0.04864785420340976,0.046092906013683835
28,5000.0,40.0,0.008,0.5,150.0,150.0,3238.0,4581.0,59296.0,622.0,761.0,31.0,0.39395030608570397,0.9797134345297205,0.9794742527907814
29,5000.0,40.0,0.008,0.6,150.0,150.0,3238.0,4581.0,59296.0,622.0,761.0,153.0,0.39395030608570397,0.7886224996453398,0.7770975873244509
30,5000.0,40.0,0.008,0.7,150.0,150.0,3238.0,4581.0,59296.0,622.0,761.0,200.0,0.39395030608570397,0.36260462476947086,0.33921498019445445
31,5000.0,40.0,0.008,0.8,150.0,150.0,3238.0,4581.0,59296.0,622.0,761.0,52.0,0.39395030608570397,0.0506454816285998,0.04753330932661145
32,5000.0,40.0,0.009000000000000001,0.5,150.0,150.0,3238.0,4624.0,63541.0,622.0,758.0,26.0,0.39214980194454446,0.9763329344502061,0.9823550594166367
33,5000.0,40.0,0.009000000000000001,0.6,150.0,150.0,3238.0,4624.0,63541.0,622.0,758.0,124.0,0.39214980194454446,0.8266188006913974,0.8325531148721642
34,5000.0,40.0,0.009000000000000001,0.7,150.0,150.0,3238.0,4624.0,63541.0,622.0,758.0,213.0,0.39214980194454446,0.3907725036564287,0.38818869283399354
35,5000.0,40.0,0.009000000000000001,0.8,150.0,150.0,3238.0,4624.0,63541.0,622.0,758.0,53.0,0.39214980194454446,0.05491291051721846,0.053655023406553835
36,5000.0,40.0,0.010000000000000002,0.5,150.0,150.0,3238.0,4651.0,64648.0,622.0,782.0,19.0,0.39214980194454446,0.9764070119942007,0.9837954627295643
37,5000.0,40.0,0.010000000000000002,0.6,150.0,150.0,3238.0,4651.0,64648.0,622.0,782.0,124.0,0.39214980194454446,0.8311585606959272,0.8289521065898452
38,5000.0,40.0,0.010000000000000002,0.7,150.0,150.0,3238.0,4651.0,64648.0,622.0,782.0,209.0,0.39214980194454446,0.41676551996836697,0.4076341375585164
39,5000.0,40.0,0.010000000000000002,0.8,150.0,150.0,3238.0,4651.0,64648.0,622.0,782.0,61.0,0.39214980194454446,0.06155265585870568,0.060857039971191934
40,5000.0,40.0,0.011,0.5,150.0,150.0,3238.0,4676.0,65771.0,622.0,790.0,25.0,0.3683831472812387,0.980068187778652,0.981274756931941
41,5000.0,40.0,0.011,0.6,150.0,150.0,3238.0,4676.0,65771.0,622.0,790.0,129.0,0.3683831472812387,0.8279569892473119,0.8401152322650343
42,5000.0,40.0,0.011,0.7,150.0,150.0,3238.0,4676.0,65771.0,622.0,790.0,207.0,0.3683831472812387,0.42486231313926043,0.4141159524666907
43,5000.0,40.0,0.011,0.8,150.0,150.0,3238.0,4676.0,65771.0,622.0,790.0,59.0,0.3683831472812387,0.05205874639391555,0.05401512423478574
44,5000.0,40.0,0.012,0.5,150.0,150.0,3238.0,4694.0,70310.0,622.0,758.0,24.0,0.39755131436802305,0.9837437245995697,0.9866762693554195
45,5000.0,40.0,0.012,0.6,150.0,150.0,3238.0,4694.0,70310.0,622.0,758.0,80.0,0.39755131436802305,0.879631843174755,0.8808066258552395
46,5000.0,40.0,0.012,0.7,150.0,150.0,3238.0,4694.0,70310.0,622.0,758.0,198.0,0.39755131436802305,0.5129093951709299,0.48613611811307167
47,5000.0,40.0,0.012,0.8,150.0,150.0,3238.0,4694.0,70310.0,622.0,758.0,77.0,0.39755131436802305,0.079966531197705,0.0662585523946705
48,5000.0,40.0,0.013000000000000001,0.5,150.0,150.0,3238.0,4704.0,70554.0,622.0,763.0,14.0,0.39214980194454446,0.9854262812727714,0.98487576521426
49,5000.0,40.0,0.013000000000000001,0.6,150.0,150.0,3238.0,4704.0,70554.0,622.0,763.0,93.0,0.39214980194454446,0.8835316978382317,0.8815268275117033
50,5000.0,40.0,0.013000000000000001,0.7,150.0,150.0,3238.0,4704.0,70554.0,622.0,763.0,210.0,0.39214980194454446,0.45324265241680833,0.44400432120993877
51,5000.0,40.0,0.013000000000000001,0.8,150.0,150.0,3238.0,4704.0,70554.0,622.0,763.0,68.0,0.39214980194454446,0.060966723342239494,0.05941663665826431
52,5000.0,40.0,0.014000000000000002,0.5,150.0,150.0,3238.0,4707.0,70483.0,622.0,760.0,9.0,0.39575081022686354,0.9866634626937403,0.9913575801224342
53,5000.0,40.0,0.014000000000000002,0.6,150.0,150.0,3238.0,4707.0,70483.0,622.0,760.0,103.0,0.39575081022686354,0.8641114982578397,0.8631616852718761
54,5000.0,40.0,0.014000000000000002,0.7,150.0,150.0,3238.0,4707.0,70483.0,622.0,760.0,220.0,0.39575081022686354,0.48924666586567345,0.45012603528988115
55,5000.0,40.0,0.014000000000000002,0.8,150.0,150.0,3238.0,4707.0,70483.0,622.0,760.0,70.0,0.39575081022686354,0.07809684008170131,0.07742167806985956
56,5000.0,40.0,0.015,0.5,150.0,150.0,3238.0,4725.0,74699.0,622.0,757.0,8.0,0.38962909614692115,0.986328125,0.992077781778898
57,5000.0,40.0,0.015,0.6,150.0,150.0,3238.0,4725.0,74699.0,622.0,757.0,80.0,0.38962909614692115,0.8954503676470589,0.897731364782139
58,5000.0,40.0,0.015,0.7,150.0,150.0,3238.0,4725.0,74699.0,622.0,757.0,192.0,0.38962909614692115,0.5303308823529411,0.5135037810586964
59,5000.0,40.0,0.015,0.8,150.0,150.0,3238.0,4725.0,74699.0,622.0,757.0,94.0,0.38962909614692115,0.10167738970588236,0.08714440043212099
60,5000.0,40.0,0.016,0.5,150.0,150.0,3238.0,4749.0,74283.0,622.0,760.0,7.0,0.3806265754411235,0.9900560064007315,0.9949585884047534
61,5000.0,40.0,0.016,0.6,150.0,150.0,3238.0,4749.0,74283.0,622.0,760.0,64.0,0.3806265754411235,0.9045605212024231,0.9110550954267195
62,5000.0,40.0,0.016,0.7,150.0,150.0,3238.0,4749.0,74283.0,622.0,760.0,214.0,0.3806265754411235,0.502000228597554,0.49549873964710117
63,5000.0,40.0,0.016,0.8,150.0,150.0,3238.0,4749.0,74283.0,622.0,760.0,92.0,0.3806265754411235,0.08218082066521888,0.07886208138278718
64,5000.0,40.0,0.017,0.5,150.0,150.0,3238.0,4746.0,74220.0,622.0,762.0,9.0,0.39863161685271875,0.9887693027608797,0.9956787900612172
65,5000.0,40.0,0.017,0.6,150.0,150.0,3238.0,4746.0,74220.0,622.0,762.0,89.0,0.39863161685271875,0.8909686476368741,0.8937702556715881
66,5000.0,40.0,0.017,0.7,150.0,150.0,3238.0,4746.0,74220.0,622.0,762.0,219.0,0.39863161685271875,0.5142723444080487,0.5019805545552755
67,5000.0,40.0,0.017,0.8,150.0,150.0,3238.0,4746.0,74220.0,622.0,762.0,80.0,0.39863161685271875,0.08130556855404773,0.07778177889809147
68,5000.0,40.0,0.018000000000000002,0.5,150.0,150.0,3238.0,4753.0,77293.0,622.0,750.0,9.0,0.39683111271155924,0.9898745322474136,0.9927979834353619
69,5000.0,40.0,0.018000000000000002,0.6,150.0,150.0,3238.0,4753.0,77293.0,622.0,750.0,69.0,0.39683111271155924,0.9019370460048426,0.9070939863161686
70,5000.0,40.0,0.018000000000000002,0.7,150.0,150.0,3238.0,4753.0,77293.0,622.0,750.0,211.0,0.39683111271155924,0.5396213955535989,0.5311487216420597
71,5000.0,40.0,0.018000000000000002,0.8,150.0,150.0,3238.0,4753.0,77293.0,622.0,750.0,104.0,0.39683111271155924,0.10367598503191723,0.0950666186532229
72,5000.0,40.0,0.019000000000000003,0.5,150.0,150.0,3238.0,4743.0,77354.0,622.0,749.0,9.0,0.3741447605329492,0.9894279991097262,0.9935181850918257
73,5000.0,40.0,0.019000000000000003,0.6,150.0,150.0,3238.0,4743.0,77354.0,622.0,749.0,57.0,0.3741447605329492,0.9133095926997552,0.91681670867843
74,5000.0,40.0,0.019000000000000003,0.7,150.0,150.0,3238.0,4743.0,77354.0,622.0,749.0,207.0,0.3741447605329492,0.5480747829957712,0.5336694274396832
75,5000.0,40.0,0.019000000000000003,0.8,150.0,150.0,3238.0,4743.0,77354.0,622.0,749.0,95.0,0.3741447605329492,0.09114177609614957,0.07922218221101908
76,5000.0,40.0,0.02,0.5,150.0,150.0,3238.0,4770.0,79567.0,622.0,760.0,8.0,0.38242707958228306,0.9910219463533585,0.9931580842635938
77,5000.0,40.0,0.02,0.6,150.0,150.0,3238.0,4770.0,79567.0,622.0,760.0,70.0,0.38242707958228306,0.9142097095987586,0.9142960028808066
78,5000.0,40.0,0.02,0.7,150.0,150.0,3238.0,4770.0,79567.0,622.0,760.0,199.0,0.38242707958228306,0.5626246951895367,0.5516744688512784
79,5000.0,40.0,0.02,0.8,150.0,150.0,3238.0,4770.0,79567.0,622.0,760.0,87.0,0.38242707958228306,0.0885612946131678,0.08354339214980194
80,5000.0,52.41379310344828,0.001,0.5,150.0,150.0,3238.0,2945.0,18320.0,622.0,521.0,265.0,0.27295642779978396,0.902287708414114,0.6218941303564999
81,5000.0,52.41379310344828,0.001,0.6,150.0,150.0,3238.0,2945.0,18320.0,622.0,521.0,262.0,0.27295642779978396,0.6118650639782861,0.35325891249549873
82,5000.0,52.41379310344828,0.001,0.7,150.0,150.0,3238.0,2945.0,18320.0,622.0,521.0,112.0,0.27295642779978396,0.2648313299728577,0.14548073460568958
83,5000.0,52.41379310344828,0.001,0.8,150.0,150.0,3238.0,2945.0,18320.0,622.0,521.0,19.0,0.27295642779978396,0.05583559519193486,0.0219661505221462
84,5000.0,52.41379310344828,0.002,0.5,150.0,150.0,3238.0,3792.0,29830.0,622.0,696.0,182.0,0.40655383507382065,0.9033804238143289,0.8213899891969751
85,5000.0,52.41379310344828,0.002,0.6,150.0,150.0,3238.0,3792.0,29830.0,622.0,696.0,254.0,0.40655383507382065,0.5716448032290615,0.48577601728483977
86,5000.0,52.41379310344828,0.002,0.7,150.0,150.0,3238.0,3792.0,29830.0,622.0,696.0,138.0,0.40655383507382065,0.26513622603430875,0.19085343896290963
87,5000.0,52.41379310344828,0.002,0.8,150.0,150.0,3238.0,3792.0,29830.0,622.0,696.0,25.0,0.40655383507382065,0.04667003027245207,0.030608570399711918
88,5000.0,52.41379310344828,0.003,0.5,150.0,150.0,3238.0,4109.0,37485.0,622.0,741.0,114.0,0.4187972632337054,0.9153944020356234,0.9006121714079942
89,5000.0,52.41379310344828,0.003,0.6,150.0,150.0,3238.0,4109.0,37485.0,622.0,741.0,246.0,0.4187972632337054,0.6119592875318066,0.5570759812747569
90,5000.0,52.41379310344828,0.003,0.7,150.0,150.0,3238.0,4109.0,37485.0,622.0,741.0,152.0,0.4187972632337054,0.23918575063613232,0.20309686712279437
91,5000.0,52.41379310344828,0.003,0.8,150.0,150.0,3238.0,4109.0,37485.0,622.0,741.0,30.0,0.4187972632337054,0.04580152671755725,0.0291681670867843
92,5000.0,52.41379310344828,0.004,0.5,150.0,150.0,3238.0,4261.0,43024.0,622.0,769.0,81.0,0.39719121353979114,0.945000945000945,0.9387828592005761
93,5000.0,52.41379310344828,0.004,0.6,150.0,150.0,3238.0,4261.0,43024.0,622.0,769.0,240.0,0.39719121353979114,0.6535626535626535,0.6535830032409075
94,5000.0,52.41379310344828,0.004,0.7,150.0,150.0,3238.0,4261.0,43024.0,622.0,769.0,163.0,0.39719121353979114,0.23152523152523152,0.22830392509902772
