,num,time,scale,min_lifetime,derror,terror,epair,apair,spair,eg,ag,sg,r1,r2,r3
34,10000.0,40.0,0.001,5.0,200.0,100.0,4343.0,3770.0,33291.0,197.0,204.0,257.0,0.13404825737265416,0.9345335515548282,0.45621090259159963
35,10000.0,40.0,0.002,5.0,200.0,100.0,4343.0,6298.0,71721.0,197.0,427.0,223.0,0.23190348525469168,0.8531201112463063,0.7292225201072386
36,10000.0,40.0,0.001,6.0,200.0,100.0,2180.0,2082.0,18843.0,22.0,40.0,162.0,0.03939393939393939,0.9294294294294294,0.38181818181818183
37,10000.0,40.0,0.002,6.0,200.0,100.0,2180.0,4503.0,50086.0,22.0,159.0,188.0,0.22424242424242424,0.9476868327402135,0.8545454545454545
38,10000.0,40.0,0.001,7.0,200.0,100.0,896.0,1014.0,9513.0,0.0,5.0,92.0,0.0,1.0,0.0
39,10000.0,40.0,0.002,7.0,200.0,100.0,896.0,2934.0,32711.0,0.0,45.0,148.0,0.0,1.0,0.0
40,10000.0,40.0,0.001,3.0,200.0,200.0,9062.0,7989.0,79234.0,1654.0,1443.0,308.0,0.21234392287023865,0.7820468839336764,0.5478109688636005
41,10000.0,40.0,0.002,3.0,200.0,200.0,9062.0,8908.0,124053.0,1654.0,1584.0,133.0,0.32693219535324797,0.8617131888346796,0.7947684526631895
42,10000.0,40.0,0.001,4.0,200.0,200.0,8137.0,5911.0,53124.0,965.0,606.0,299.0,0.16391820580474933,0.8145412130637636,0.4456904133685136
43,10000.0,40.0,0.002,4.0,200.0,200.0,8137.0,7837.0,96297.0,965.0,904.0,204.0,0.29078715919085313,0.8202149603734665,0.6897537379067722
44,10000.0,40.0,0.001,5.0,200.0,200.0,6480.0,3770.0,33291.0,391.0,204.0,257.0,0.12707862861835353,0.9316693944353519,0.41408335044138783
45,10000.0,40.0,0.002,5.0,200.0,200.0,6480.0,6298.0,71721.0,391.0,427.0,223.0,0.24553479778279613,0.8503389535894316,0.6643399712584684
46,10000.0,40.0,0.001,6.0,200.0,200.0,4415.0,2082.0,18843.0,108.0,40.0,162.0,0.08602739726027397,0.924924924924925,0.37205479452054796
47,10000.0,40.0,0.002,6.0,200.0,200.0,4415.0,4503.0,50086.0,108.0,159.0,188.0,0.21424657534246574,0.9462633451957295,0.6893150684931507
48,10000.0,40.0,0.001,7.0,200.0,200.0,2527.0,1014.0,9513.0,16.0,5.0,92.0,0.10571428571428572,1.0,0.4542857142857143
49,10000.0,40.0,0.002,7.0,200.0,200.0,2527.0,2934.0,32711.0,16.0,45.0,148.0,0.30857142857142855,1.0,0.84
50,10000.0,40.0,0.001,3.0,200.0,300.0,9228.0,7989.0,79234.0,1632.0,1443.0,308.0,0.22203171881697387,0.7820468839336764,0.5523646235176454
51,10000.0,40.0,0.002,3.0,200.0,300.0,9228.0,8908.0,124053.0,1632.0,1584.0,133.0,0.34719245606515214,0.8613932656162521,0.7822546078011144
52,10000.0,40.0,0.001,4.0,200.0,300.0,8459.0,5911.0,53124.0,1015.0,606.0,299.0,0.16534074571072557,0.8162908242612753,0.43832071312182497
53,10000.0,40.0,0.002,4.0,200.0,300.0,8459.0,7837.0,96297.0,1015.0,904.0,204.0,0.2918623598198026,0.8209749212897622,0.6812038723281894
54,10000.0,40.0,0.001,5.0,200.0,300.0,7067.0,3770.0,33291.0,472.0,204.0,257.0,0.11662892267874474,0.9365793780687398,0.3799741184082821
55,10000.0,40.0,0.002,5.0,200.0,300.0,7067.0,6298.0,71721.0,472.0,427.0,223.0,0.2615658362989324,0.851729532417869,0.6332901973471369
56,10000.0,40.0,0.001,6.0,200.0,300.0,5195.0,2082.0,18843.0,163.0,40.0,162.0,0.07237762237762238,0.924924924924925,0.3713286713286713
57,10000.0,40.0,0.002,6.0,200.0,300.0,5195.0,4503.0,50086.0,163.0,159.0,188.0,0.22937062937062938,0.9462633451957295,0.6363636363636364
58,10000.0,40.0,0.001,7.0,200.0,300.0,3349.0,1014.0,9513.0,37.0,5.0,92.0,0.03202846975088968,1.0,0.37129300118623965
59,10000.0,40.0,0.002,7.0,200.0,300.0,3349.0,2934.0,32711.0,37.0,45.0,148.0,0.2586002372479241,1.0,0.7034400948991696
60,10000.0,40.0,0.001,3.0,300.0,100.0,9013.0,7989.0,79234.0,1667.0,1443.0,308.0,0.17567232105916425,0.7818181818181819,0.5120397186594953
61,10000.0,40.0,0.002,3.0,300.0,100.0,9013.0,8908.0,124053.0,1667.0,1584.0,133.0,0.2546131568059578,0.8615532272254659,0.7541580471659082
62,10000.0,40.0,0.001,4.0,300.0,100.0,8017.0,5911.0,53124.0,940.0,606.0,299.0,0.11785997059156204,0.8157076205287714,0.36206311503223615
63,10000.0,40.0,0.002,4.0,300.0,100.0,8017.0,7837.0,96297.0,940.0,904.0,204.0,0.20846058138219659,0.820757789599392,0.6439316819364326
64,10000.0,40.0,0.001,5.0,300.0,100.0,6437.0,3770.0,33291.0,415.0,204.0,257.0,0.07898863190905528,0.9328968903436988,0.30164641317130536
65,10000.0,40.0,0.002,5.0,300.0,100.0,6437.0,6298.0,71721.0,415.0,427.0,223.0,0.17522540180321441,0.8525986441856422,0.5695805566444532
66,10000.0,40.0,0.001,6.0,300.0,100.0,4411.0,2082.0,18843.0,118.0,40.0,162.0,0.04256410256410256,0.9294294294294294,0.2651282051282051
67,10000.0,40.0,0.002,6.0,300.0,100.0,4411.0,4503.0,50086.0,118.0,159.0,188.0,0.1523076923076923,0.9494661921708185,0.5815384615384616
68,10000.0,40.0,0.001,7.0,300.0,100.0,2480.0,1014.0,9513.0,15.0,5.0,92.0,0.040372670807453416,1.0,0.16770186335403728
69,10000.0,40.0,0.002,7.0,300.0,100.0,2480.0,2934.0,32711.0,15.0,45.0,148.0,0.13043478260869565,1.0,0.48757763975155277
70,10000.0,40.0,0.001,3.0,300.0,200.0,9406.0,7989.0,79234.0,1635.0,1443.0,308.0,0.1685573287188361,0.7819325328759291,0.5081715054797155
71,10000.0,40.0,0.002,3.0,300.0,200.0,9406.0,8908.0,124053.0,1635.0,1584.0,133.0,0.25777094148561175,0.8615532272254659,0.7506889700698584
72,10000.0,40.0,0.001,4.0,300.0,200.0,8849.0,5911.0,53124.0,1109.0,606.0,299.0,0.11613055818353832,0.8170684292379471,0.3658940397350993
73,10000.0,40.0,0.002,4.0,300.0,200.0,8849.0,7837.0,96297.0,1109.0,904.0,204.0,0.22043519394512773,0.8201063945282814,0.6063544623147272
74,10000.0,40.0,0.001,5.0,300.0,200.0,7893.0,3770.0,33291.0,627.0,204.0,257.0,0.07762294137970747,0.9361702127659575,0.29321663019693656
75,10000.0,40.0,0.002,5.0,300.0,200.0,7893.0,6298.0,71721.0,627.0,427.0,223.0,0.1653806288149257,0.8513818877107596,0.5229759299781181
76,10000.0,40.0,0.001,6.0,300.0,200.0,6450.0,2082.0,18843.0,258.0,40.0,162.0,0.032369443245576175,0.924924924924925,0.25248165731549416
77,10000.0,40.0,0.002,6.0,300.0,200.0,6450.0,4503.0,50086.0,258.0,159.0,188.0,0.14803625377643503,0.9441281138790035,0.5194216659473457
78,10000.0,40.0,0.001,7.0,300.0,200.0,4661.0,1014.0,9513.0,72.0,5.0,92.0,0.008019740900678593,1.0,0.17766810610734116
79,10000.0,40.0,0.002,7.0,300.0,200.0,4661.0,2934.0,32711.0,72.0,45.0,148.0,0.08266502159161011,0.9932692307692308,0.47254780999383095
80,10000.0,40.0,0.001,3.0,300.0,300.0,9493.0,7989.0,79234.0,1602.0,1443.0,308.0,0.16938395248631652,0.7822755860491709,0.5026202398975195
81,10000.0,40.0,0.002,3.0,300.0,300.0,9493.0,8908.0,124053.0,1602.0,1584.0,133.0,0.26895306859205775,0.8615532272254659,0.7514265750553162
82,10000.0,40.0,0.001,4.0,300.0,300.0,9046.0,5911.0,53124.0,1148.0,606.0,299.0,0.11785487175863775,0.8168740279937792,0.3486893238182717
83,10000.0,40.0,0.002,4.0,300.0,300.0,9046.0,7837.0,96297.0,1148.0,904.0,204.0,0.21896417720624603,0.8209749212897622,0.6015685720341977
84,10000.0,40.0,0.001,5.0,300.0,300.0,8225.0,3770.0,33291.0,687.0,204.0,257.0,0.06919211441824508,0.9320785597381342,0.2761886354851179
85,10000.0,40.0,0.002,5.0,300.0,300.0,8225.0,6298.0,71721.0,687.0,427.0,223.0,0.17124081948202552,0.8501651312358769,0.5020293776575183
86,10000.0,40.0,0.001,6.0,300.0,300.0,7049.0,2082.0,18843.0,326.0,40.0,162.0,0.0332891685988738,0.9294294294294294,0.2340178867174561
87,10000.0,40.0,0.002,6.0,300.0,300.0,7049.0,4503.0,50086.0,326.0,159.0,188.0,0.13530970520039748,0.9494661921708185,0.469857568731368
88,10000.0,40.0,0.001,7.0,300.0,300.0,5392.0,1014.0,9513.0,112.0,5.0,92.0,0.012849584278155708,1.0,0.1931216931216931
89,10000.0,40.0,0.002,7.0,300.0,300.0,5392.0,2934.0,32711.0,112.0,45.0,148.0,0.09561602418745276,1.0,0.4463340891912321
90,20000.0,40.0,0.001,3.0,100.0,100.0,16983.0,18089.0,317467.0,3172.0,3131.0,391.0,0.24026077277786612,0.7293791241751649,0.6218794720941326
91,20000.0,40.0,0.002,3.0,100.0,100.0,16983.0,18905.0,491359.0,3172.0,3049.0,169.0,0.29199130757407116,0.8708947655823387,0.856256956590873
92,20000.0,40.0,0.001,4.0,100.0,100.0,13411.0,15818.0,226166.0,1397.0,1751.0,406.0,0.23858089260808926,0.7287578232735759,0.5917887029288703
93,20000.0,40.0,0.002,4.0,100.0,100.0,13411.0,17975.0,389408.0,1397.0,2149.0,193.0,0.3057008368200837,0.800947248081006,0.8338563458856346
94,20000.0,40.0,0.001,5.0,100.0,100.0,8766.0,12368.0,157508.0,428.0,822.0,384.0,0.2334259626836046,0.7841849355966902,0.6260420801905519
95,20000.0,40.0,0.002,5.0,100.0,100.0,8766.0,16300.0,304001.0,428.0,1290.0,243.0,0.3171893608574831,0.7968540530878542,0.8765383088527193
96,20000.0,40.0,0.001,6.0,100.0,100.0,4658.0,8637.0,104233.0,70.0,337.0,341.0,0.26102292768959434,0.8742485783915516,0.6613756613756614
97,20000.0,40.0,0.002,6.0,100.0,100.0,4658.0,13843.0,231864.0,70.0,709.0,267.0,0.37742504409171074,0.835414749572762,0.8959435626102292
98,20000.0,40.0,0.001,7.0,100.0,100.0,2087.0,5502.0,65290.0,5.0,109.0,240.0,0.32142857142857145,0.9232954545454546,0.6785714285714286
99,20000.0,40.0,0.002,7.0,100.0,100.0,2087.0,10953.0,171684.0,5.0,352.0,274.0,0.6607142857142857,0.890051791109193,1.0
100,20000.0,40.0,0.001,3.0,100.0,200.0,18200.0,18089.0,317467.0,3300.0,3131.0,391.0,0.25887996345224046,0.7296415716856629,0.618494689153691
101,20000.0,40.0,0.002,3.0,100.0,200.0,18200.0,18905.0,491359.0,3300.0,3049.0,169.0,0.3350972703392089,0.8708427594456146,0.8465755510716869
102,20000.0,40.0,0.001,4.0,100.0,200.0,16257.0,15818.0,226166.0,1868.0,1751.0,406.0,0.24699118848055018,0.7301898801315371,0.55297657425317
103,20000.0,40.0,0.002,4.0,100.0,200.0,16257.0,17975.0,389408.0,1868.0,2149.0,193.0,0.3325811304534709,0.801208557896456,0.7850848914678702
104,20000.0,40.0,0.001,5.0,100.0,200.0,13082.0,12368.0,157508.0,854.0,822.0,384.0,0.24458798882681565,0.7849526571696664,0.5593575418994413
105,20000.0,40.0,0.002,5.0,100.0,200.0,13082.0,16300.0,304001.0,854.0,1290.0,243.0,0.35614525139664804,0.7981052819733667,0.8028980446927374
106,20000.0,40.0,0.001,6.0,100.0,200.0,9222.0,8637.0,104233.0,318.0,337.0,341.0,0.24434147210835858,0.8768480909829407,0.6023881661022991
107,20000.0,40.0,0.002,6.0,100.0,200.0,9222.0,13843.0,231864.0,318.0,709.0,267.0,0.3769381571912315,0.8346917313001183,0.8369274639101765
108,20000.0,40.0,0.001,7.0,100.0,200.0,5886.0,5502.0,65290.0,83.0,109.0,240.0,0.21009688934217235,0.916801948051948,0.6787353391126976
109,20000.0,40.0,0.002,7.0,100.0,200.0,5886.0,10953.0,171684.0,83.0,352.0,274.0,0.39214686384497704,0.8930729391454467,0.8944416114227435
110,20000.0,40.0,0.001,3.0,100.0,300.0,18486.0,18089.0,317467.0,3207.0,3131.0,391.0,0.2788773304512294,0.729754049190162,0.6230748446365847
111,20000.0,40.0,0.002,3.0,100.0,300.0,18486.0,18905.0,491359.0,3207.0,3049.0,169.0,0.3620980815995677,0.8707907533088904,0.8416306403674683
112,20000.0,40.0,0.001,4.0,100.0,300.0,16914.0,15818.0,226166.0,1967.0,1751.0,406.0,0.2517720703304796,0.7296594887026626,0.5408266593022185
113,20000.0,40.0,0.002,4.0,100.0,300.0,16914.0,17975.0,389408.0,1967.0,2149.0,193.0,0.34511645033600297,0.8006532745386249,0.7719782748780263
114,20000.0,40.0,0.001,5.0,100.0,300.0,14166.0,12368.0,157508.0,999.0,822.0,384.0,0.2415472380687352,0.7840143308026956,0.5262279115068874
115,20000.0,40.0,0.002,5.0,100.0,300.0,14166.0,16300.0,304001.0,999.0,1290.0,243.0,0.3537637400862669,0.7981499687192779,0.7650619173507722
116,20000.0,40.0,0.001,6.0,100.0,300.0,10709.0,8637.0,104233.0,423.0,337.0,341.0,0.21051967709384461,0.8735987002437043,0.552598385469223
117,20000.0,40.0,0.002,6.0,100.0,300.0,10709.0,13843.0,231864.0,423.0,709.0,267.0,0.40199293642785067,0.8356776653082687,0.7912462159434914
118,20000.0,40.0,0.001,7.0,100.0,300.0,7412.0,5502.0,65290.0,147.0,109.0,240.0,0.1696578799775659,0.9208603896103896,0.6303982052720135
119,20000.0,40.0,0.002,7.0,100.0,300.0,7412.0,10953.0,171684.0,147.0,352.0,274.0,0.4195176668536175,0.8930729391454467,0.8656758272574313
120,20000.0,40.0,0.001,3.0,200.0,100.0,18583.0,18089.0,317467.0,3357.0,3131.0,391.0,0.17751252783964366,0.7295290941811637,0.5575236636971047
121,20000.0,40.0,0.002,3.0,200.0,100.0,18583.0,18905.0,491359.0,3357.0,3049.0,169.0,0.2581778953229399,0.8707647502405284,0.8080456570155902
122,20000.0,40.0,0.001,4.0,200.0,100.0,17096.0,15818.0,226166.0,2094.0,1751.0,406.0,0.1558138427094746,0.7297655669884374,0.4532463202019721
123,20000.0,40.0,0.002,4.0,200.0,100.0,17096.0,17975.0,389408.0,2094.0,2149.0,193.0,0.23660267708283714,0.8008492569002124,0.7193826513599771
124,20000.0,40.0,0.001,5.0,200.0,100.0,14352.0,12368.0,157508.0,962.0,822.0,384.0,0.13090162640138955,0.7841849355966902,0.3999684193904942
125,20000.0,40.0,0.002,5.0,200.0,100.0,14352.0,16300.0,304001.0,962.0,1290.0,243.0,0.21759039949471023,0.796809366341943,0.700536870361598
126,20000.0,40.0,0.001,6.0,200.0,100.0,10613.0,8637.0,104233.0,318.0,337.0,341.0,0.13102437236576875,0.8744110479285134,0.3637529778266447
127,20000.0,40.0,0.002,6.0,200.0,100.0,10613.0,13843.0,231864.0,318.0,709.0,267.0,0.2325453545904343,0.8352175627711319,0.7337364852483049
128,20000.0,40.0,0.001,7.0,200.0,100.0,6562.0,5502.0,65290.0,57.0,109.0,240.0,0.12294440093970242,0.921672077922078,0.3273296789350039
129,20000.0,40.0,0.002,7.0,200.0,100.0,6562.0,10953.0,171684.0,57.0,352.0,274.0,0.22631166797180893,0.8918860595597756,0.7447141738449491
130,20000.0,40.0,0.001,3.0,200.0,200.0,19069.0,18089.0,317467.0,3244.0,3131.0,391.0,0.18888917977851663,0.7295665866826635,0.5581066575909103
131,20000.0,40.0,0.002,3.0,200.0,200.0,19069.0,18905.0,491359.0,3244.0,3049.0,169.0,0.2900489567243501,0.8708427594456146,0.8089116946357043
132,20000.0,40.0,0.001,4.0,200.0,200.0,18226.0,15818.0,226166.0,2288.0,1751.0,406.0,0.15809183225937046,0.7294473321311128,0.4327789210890321
133,20000.0,40.0,0.002,4.0,200.0,200.0,18226.0,17975.0,389408.0,2288.0,2149.0,193.0,0.25646907999055363,0.8007839294463498,0.700111332276239
134,20000.0,40.0,0.001,5.0,200.0,200.0,16738.0,12368.0,157508.0,1361.0,822.0,384.0,0.1327264015333014,0.7850379595666638,0.3614758025874461
135,20000.0,40.0,0.002,5.0,200.0,200.0,16738.0,16300.0,304001.0,1361.0,1290.0,243.0,0.22999520843315766,0.7967199928501206,0.6412074748442741
